"","trajectory","frame","x","y","z"
"280",63,137,69.8,73.89,1
"281",63,138,68.26,74.19,1
"282",64,137,83.63,60.12,1
"283",64,138,83.39,60.07,1
"284",64,139,83.09,60.72,1
"285",65,169,66.08,73.13,1
"286",65,170,65.76,75.23,1
"287",66,174,84.83,43.23,1
"288",66,175,84.16,43.16,1
"289",67,186,66.6,74.95,1
"290",67,187,66.05,74.13,1
"291",67,188,66.37,74.99,1
"292",67,189,66.86,74.22,1
"293",68,228,22.15,92.29,1
"294",68,229,21.81,93.24,1
"295",68,230,22.17,92.71,1
"296",68,231,21.18,93,1
"297",69,233,22.13,92.15,1
"298",69,234,22.71,91.8,1
"299",70,237,22.22,91.76,1
"300",70,238,22.67,91.88,1
"301",71,238,56.73,34.79,1
"302",71,239,57.17,35.69,1
"303",71,240,58.03,35.32,1
"304",71,241,58.2,35.71,1
"305",72,240,23.82,92.24,1
"306",72,241,22.79,92.07,1
"307",73,243,23.74,90.31,1
"308",73,244,23.75,90.13,1
"309",74,249,26.86,91.98,1
"310",74,250,27.92,92.22,1
"311",75,252,25.77,92.77,1
"312",75,253,25.71,92.76,1
"313",76,254,68.26,84.76,1
"314",76,255,68.05,84.64,1
"315",76,256,67.76,83.74,1
"316",76,257,67.59,83.89,1
"317",77,255,26.1,89.23,1
"318",77,256,26.08,88.32,1
"319",77,257,25.98,87.69,1
"320",78,259,25.96,87.82,1
"321",78,260,25.07,87.97,1
"322",78,261,24.84,87.09,1
"323",79,259,68.78,84.86,1
"324",79,260,68.23,84.24,1
"325",80,262,85.69,52.79,1
"326",80,263,86.83,49.79,1
"327",80,264,86.86,49.87,1
"328",81,263,27.93,88.64,1
"329",81,264,27.69,86.86,1
"330",82,266,63.29,82.19,1
"331",82,267,64.04,82.66,1
"332",82,268,64.23,83.72,1
"333",82,269,64.67,83.18,1
"334",82,270,62.96,81.24,1
"335",82,271,62.69,81.23,1
"336",82,272,62.19,81.75,1
"337",82,273,62.76,81.69,1
"338",82,274,62.28,78.27,1
"339",83,277,64.93,78.68,1
"340",83,278,63.19,79.3,1
"341",84,280,86.12,49.72,1
"342",84,281,86.33,50.03,1
"343",85,295,27.21,88.77,1
"344",85,296,27.78,87.93,1
"345",86,299,27.12,89.06,1
"346",86,300,27.97,88.69,1
"347",87,302,85.25,50.15,1
"348",87,303,85.21,49.94,1
"349",87,304,86.05,49.3,1
"350",88,318,69.03,85.26,1
"351",88,319,68.86,85.82,1
"352",88,320,69.81,86.72,1
"353",88,321,70.68,86.17,1
"354",88,322,69.93,85.72,1
"355",88,323,69.94,85.88,1
"356",88,324,69.66,85.18,1
"357",89,324,27.12,94.23,1
"358",89,325,27.39,95.06,1
"359",90,326,70.07,70.33,1
"360",90,327,70.29,70.17,1
"361",90,328,70.1,70.1,1
"362",90,329,70.88,71.02,1
"363",91,327,70.06,86.8,1
"364",91,328,69.9,86.19,1
"365",92,331,25.33,94.12,1
"366",92,332,24.92,94.74,1
"367",93,336,76.32,80.09,1
"368",93,337,75.31,82.88,1
"369",94,340,91.11,57.23,1
"370",94,341,90.05,55.11,1
"371",95,341,27.15,93.93,1
"372",95,342,27.88,94.34,1
"373",95,343,27.75,95.19,1
"374",95,344,26.94,94.28,1
"375",96,344,65.95,83.77,1
"376",96,345,66.05,83.26,1
"377",96,346,63.99,82.12,1
"378",97,358,23.71,93,1
"379",97,359,25.12,90.31,1
"380",97,360,23.65,91.92,1
"381",98,367,69.72,82.84,1
"382",98,368,69.76,84.2,1
"383",99,372,63.8,82.87,1
"384",99,373,67.06,84.96,1
"385",100,378,69.64,86.17,1
"386",100,379,67.85,85.32,1
"387",100,380,65.18,83.91,1
"388",101,397,68.32,83.95,1
"389",101,398,68.75,83.23,1
"390",102,402,73.22,82.02,1
"391",102,403,73.72,81.97,1
"392",102,404,72.88,82.18,1
"393",102,405,73.61,81.14,1
"394",103,409,71.07,81.76,1
"395",103,410,72.41,83.99,1
"396",103,411,73.79,84.6,1
"397",103,412,72.69,83.89,1
"398",103,413,72.75,83.95,1
"399",103,414,72.1,84.2,1
"400",104,418,73.23,83.75,1
"401",104,419,73.73,84.91,1
"402",105,428,62.03,82.37,1
"403",105,429,63.69,82.28,1
"404",105,430,62.93,82.29,1
"405",106,432,62.89,82.75,1
"406",106,433,62.05,82.74,1
"407",106,434,61.73,82.07,1
"408",106,435,62.72,81.25,1
"409",107,440,62.87,80.87,1
"410",107,441,61.31,81.81,1
"411",108,445,36.36,95,1
"412",108,446,36.86,93.76,1
"413",108,447,38.74,93.08,1
"414",109,449,40.97,92.22,1
"415",109,450,39.3,92.18,1
"416",109,451,38.73,90.86,1
"417",109,452,38.03,93.3,1
"418",109,453,37.93,93.63,1
"419",109,454,40.2,94.73,1
"420",109,455,39.69,94.11,1
"421",109,456,38.95,94.22,1
"422",109,457,37.86,95.7,1
"423",109,458,37.66,97.95,1
"424",109,459,37.33,99.26,1
"425",109,460,37.91,98.97,1
"426",110,451,22.92,101.23,1
"427",110,452,22.87,102.75,1
"428",111,477,24.82,92.03,1
"429",111,478,25.13,92.58,1
"430",112,482,67.73,55.16,1
"431",112,483,67.18,55.24,1
"432",112,484,67.72,55.22,1
"433",112,485,67.39,55.86,1
"434",112,486,67.6,56.05,1
"435",112,487,67.29,56.23,1
"436",112,488,67.73,56.12,1
"437",113,486,21.41,102.11,1
"438",113,487,20.86,102.76,1
"439",114,490,67.12,56.38,1
"440",114,491,67.69,55.21,1
"441",114,492,67.11,55.85,1
"442",114,493,67.76,55.7,1
"443",114,494,67.36,55.97,1
"444",114,495,67.06,55.86,1
"445",114,496,67.29,55.8,1
"446",114,497,67.1,56.17,1
"447",114,498,66.79,55.88,1
"448",114,499,66.76,55.71,1
"449",114,500,67.16,56.36,1
"450",114,501,67.66,55.93,1
"451",114,502,67.3,56.02,1
"452",114,503,67.62,55.85,1
"453",114,504,66.35,56.15,1
"454",115,498,25.07,92.01,1
"455",115,499,25.18,92.77,1
"456",115,500,24.72,92.14,1
"457",116,506,67.09,55.87,1
"458",116,507,67.89,55.79,1
"459",116,508,67.25,55.75,1
"460",116,509,67.37,55.94,1
"461",116,510,67.95,55.12,1
"462",116,511,67.74,55.18,1
"463",116,512,67.73,55.22,1
"464",116,513,67.75,55.09,1
"465",116,514,66.95,55.17,1
"466",117,516,67.97,54.6,1
"467",117,517,67.28,54.17,1
"468",117,518,66.32,55.09,1
"469",117,519,67.01,55.67,1
"470",117,520,66.75,55.27,1
"471",117,521,66.86,55.17,1
"472",117,522,66.11,55.41,1
"473",117,523,66.67,55.15,1
"474",117,524,66.79,54.29,1
"475",117,525,67.29,55.01,1
"476",117,526,67.29,54.14,1
"477",117,527,67.18,54.26,1
"478",117,528,67.23,54.67,1
"479",117,529,66.87,54.3,1
"480",117,530,66.92,54.67,1
"481",118,523,72.78,40.78,1
"482",118,524,73.09,41.2,1
"483",118,525,73.15,41.21,1
"484",118,526,73.18,41.19,1
"485",119,527,64.74,80.77,1
"486",119,528,64.17,80.16,1
"487",120,550,25.09,92.27,1
"488",120,551,24.64,91.83,1
"489",121,565,24.85,92.11,1
"490",121,566,25.03,92.27,1
"491",122,568,25.27,91.94,1
"492",122,569,25.8,91.8,1
"493",123,571,25.33,92.02,1
"494",123,572,24.23,90.86,1
"495",124,573,58.73,36.74,1
"496",124,574,57.92,35.38,1
"497",125,583,76.18,72.04,1
"498",125,584,79.25,70.88,1
"499",126,616,25.22,92.13,1
"500",126,617,24.99,92.61,1
"501",127,638,69.37,95.78,1
"502",127,639,68.73,93.26,1
"503",128,640,25.27,92.02,1
"504",128,641,25.21,92.37,1
"505",129,650,25.85,92.22,1
"506",129,651,25.84,92.92,1
"507",130,659,26.01,92.89,1
"508",130,660,25.81,92.21,1
"509",131,660,64.25,84.97,1
"510",131,661,64.34,84.22,1
"511",131,662,63.34,85.1,1
"512",132,672,25.79,92.33,1
"513",132,673,25.82,92.01,1
"514",132,674,25.77,92.35,1
"515",133,690,91.8,51.2,1
"516",133,691,91,52.67,1
"517",134,732,56.01,77.07,1
"518",134,733,55.89,76.65,1
"519",134,734,55.33,76.04,1
"520",134,735,56.06,75.95,1
"521",134,736,56.24,76.17,1
"522",134,737,56.67,75.02,1
"523",134,738,56.66,75.09,1
"524",135,760,107,47.61,1
"525",135,761,106.29,47.3,1
"526",135,762,107.15,47.71,1
"527",136,819,63.2,82.99,1
"528",136,820,63.86,83.24,1
"529",136,821,63.73,83.23,1
"530",136,822,63.27,83.21,1
"531",136,823,63.17,83.01,1
"532",137,829,84.37,46.18,1
"533",137,830,83.97,46.65,1
"534",138,847,74.19,70.06,1
"535",138,848,74.9,70.01,1
"536",139,851,68.72,74.75,1
"537",139,852,68.77,75.12,1
"538",140,867,72.21,73.82,1
"539",140,868,71.36,70.23,1
"540",140,869,70.7,69.91,1
"541",140,870,70.27,69.16,1
"542",140,871,70.03,69.41,1
"543",141,878,70.7,72.17,1
"544",141,879,70.91,73.11,1
"545",141,880,70.13,73.66,1
"546",141,881,69.77,73.06,1
"547",142,883,91.07,43.76,1
"548",142,884,91.23,43.21,1
"549",142,885,90.89,43.64,1
"550",143,883,90.72,54.75,1
"551",143,884,88.86,55.3,1
"552",144,890,69.33,70.11,1
"553",144,891,70.02,70.82,1
"554",144,892,69.7,71.86,1
"555",144,893,69.87,72.24,1
"556",144,894,70.86,72.62,1
"557",144,895,69.3,72.85,1
"558",145,895,70.21,35.74,1
"559",145,896,70.96,35.35,1
"560",146,914,79.07,39.65,1
"561",146,915,78.28,40.88,1
"562",147,923,67.94,74.84,1
"563",147,924,68.22,71.18,1
"564",148,926,23.13,91.89,1
"565",148,927,23.25,92.01,1
"566",148,928,23.79,91.77,1
"567",148,929,22.94,90.1,1
"568",149,938,22.1,93.63,1
"569",149,939,22.08,92.9,1
"570",149,940,22.95,93.3,1
"571",149,941,23.8,93.08,1
"572",150,938,97.87,55.38,1
"573",150,939,95.25,54.88,1
"574",151,943,77.14,75.1,1
"575",151,944,77.7,76.64,1
"576",152,952,27.12,94.01,1
"577",152,953,27.26,95.84,1
"578",153,965,69.75,79.23,1
"579",153,966,69.27,78.69,1
"580",154,970,69.25,79.02,1
"581",154,971,71.75,77.14,1
"582",155,973,69.79,79.23,1
"583",155,974,70.84,79.28,1
"584",155,975,69.3,78.22,1
"585",156,979,72.14,78.75,1
"586",156,980,72.83,79.73,1
"587",156,981,72.2,79.73,1
"588",156,982,72.91,78.87,1
"589",157,979,99.37,33.25,1
"590",157,980,98.22,33.82,1
"591",158,982,94.05,53.18,1
"592",158,983,90.98,53.8,1
"593",159,986,30.99,93.06,1
"594",159,987,34.7,92.81,1
"595",160,996,61.75,82.2,1
"596",160,997,64.22,79.64,1
"597",161,1031,64.94,77.82,1
"598",161,1032,64.24,79.06,1
"599",162,1039,64.63,82.06,1
"600",162,1040,64.23,81.75,1
"601",162,1041,64.94,82.65,1
"602",163,1043,65.28,82.85,1
"603",163,1044,65.41,82.96,1
"604",163,1045,65.78,81.9,1
"605",163,1046,64.22,81.69,1
"606",163,1047,64.25,82.91,1
"607",164,1049,64.42,82.07,1
"608",164,1050,65.36,84.18,1
"609",164,1051,66.73,84.26,1
"610",165,1056,71.35,82.93,1
"611",165,1057,70.76,84.74,1
"612",166,1059,70.72,84.06,1
"613",166,1060,71.3,84.13,1
"614",166,1061,71.15,83.65,1
"615",166,1062,70.4,83.06,1
"616",167,1066,70.1,84.24,1
"617",167,1067,69.38,84.08,1
"618",168,1080,74.27,82.82,1
"619",168,1081,74.11,82.15,1
"620",168,1082,73.85,81.3,1
"621",168,1083,74.85,79.33,1
"622",168,1084,75.02,81.63,1
"623",169,1086,75.13,82.3,1
"624",169,1087,75.22,81.94,1
"625",169,1088,76.06,81.65,1
"626",169,1089,76.3,81.19,1
"627",169,1090,75.4,81.97,1
"628",169,1091,75.78,82.73,1
"629",169,1092,75.21,82.76,1
"630",169,1093,76.04,82.36,1
"631",169,1094,75.25,81.96,1
"632",169,1095,74.98,82.31,1
"633",170,1107,75.28,79.94,1
"634",170,1108,75.83,80.15,1
"635",170,1109,74.41,80.17,1
"636",170,1110,73.92,83.26,1
"637",170,1111,74.28,81.82,1
"638",170,1112,73.74,81.03,1
"639",170,1113,73.34,80.92,1
"640",170,1114,74.35,83.06,1
"641",170,1115,72.91,83.8,1
"642",171,1130,74.16,79.18,1
"643",171,1131,73.89,79.71,1
"644",171,1132,71.85,81.25,1
"645",172,1134,71.01,82.13,1
"646",172,1135,70.3,84.2,1
"647",172,1136,70.85,84.63,1
